"","Year","Dataset","Season","rainfall"
"1",1901,"GPCC","MAM",0.27
"2",1902,"GPCC","MAM",0.26
"3",1903,"GPCC","MAM",0.56
"4",1904,"GPCC","MAM",0.51
"5",1905,"GPCC","MAM",0.32
"6",1906,"GPCC","MAM",0.73
"7",1907,"GPCC","MAM",0.42
"8",1908,"GPCC","MAM",0.48
"9",1909,"GPCC","MAM",0.52
"10",1910,"GPCC","MAM",0.48
"11",1911,"GPCC","MAM",0.5
"12",1912,"GPCC","MAM",0.18
"13",1913,"GPCC","MAM",0.7
"14",1914,"GPCC","MAM",0.27
"15",1915,"GPCC","MAM",0.41
"16",1916,"GPCC","MAM",0.5
"17",1917,"GPCC","MAM",0.73
"18",1918,"GPCC","MAM",0.35
"19",1919,"GPCC","MAM",0.36
"20",1920,"GPCC","MAM",0.57
"21",1921,"GPCC","MAM",0.16
"22",1922,"GPCC","MAM",0.29
"23",1923,"GPCC","MAM",0.85
"24",1924,"GPCC","MAM",0.23
"25",1925,"GPCC","MAM",0.2
"26",1926,"GPCC","MAM",0.67
"27",1927,"GPCC","MAM",0.45
"28",1928,"GPCC","MAM",0.56
"29",1929,"GPCC","MAM",0.24
"30",1930,"GPCC","MAM",0.85
"31",1931,"GPCC","MAM",0.55
"32",1932,"GPCC","MAM",0.63
"33",1933,"GPCC","MAM",0
"34",1934,"GPCC","MAM",0.42
"35",1935,"GPCC","MAM",0.5
"36",1936,"GPCC","MAM",0.65
"37",1937,"GPCC","MAM",0.75
"38",1938,"GPCC","MAM",0.34
"39",1939,"GPCC","MAM",0.49
"40",1940,"GPCC","MAM",0.65
"41",1941,"GPCC","MAM",0.45
"42",1942,"GPCC","MAM",0.78
"43",1943,"GPCC","MAM",0.26
"44",1944,"GPCC","MAM",0.54
"45",1945,"GPCC","MAM",0.3
"46",1946,"GPCC","MAM",0.33
"47",1947,"GPCC","MAM",1
"48",1948,"GPCC","MAM",0.3
"49",1949,"GPCC","MAM",0.09
"50",1950,"GPCC","MAM",0.55
"51",1951,"GPCC","MAM",0.63
"52",1952,"GPCC","MAM",0.45
"53",1953,"GPCC","MAM",0.4
"54",1954,"GPCC","MAM",0.3
"55",1955,"GPCC","MAM",0.33
"56",1956,"GPCC","MAM",0.53
"57",1957,"GPCC","MAM",0.76
"58",1958,"GPCC","MAM",0.24
"59",1959,"GPCC","MAM",0.23
"60",1960,"GPCC","MAM",0.64
"61",1961,"GPCC","MAM",0.39
"62",1962,"GPCC","MAM",0.62
"63",1963,"GPCC","MAM",0.8
"64",1964,"GPCC","MAM",0.37
"65",1965,"GPCC","MAM",0.2
"66",1966,"GPCC","MAM",0.54
"67",1967,"GPCC","MAM",0.56
"68",1968,"GPCC","MAM",0.66
"69",1969,"GPCC","MAM",0.44
