"","Year","thickness_type","n"
"1",-1050,"dark layer",0.1
"2",-1050,"light layer",0.4
"3",-1049,"dark layer",0.2
"4",-1049,"light layer",0.4
"5",-1048,"dark layer",0.2
"6",-1048,"light layer",0.5
"7",-1047,"dark layer",0.2
"8",-1047,"light layer",0.6
"9",-1046,"dark layer",0.1
"10",-1046,"light layer",0.5
"11",-1045,"dark layer",0.1
"12",-1045,"light layer",0.1
"13",-1044,"dark layer",0.04
"14",-1044,"light layer",0.96
"15",-1043,"dark layer",0.1
"16",-1043,"light layer",0.1
"17",-1042,"dark layer",0.2
"18",-1042,"light layer",0.1
"19",-1041,"dark layer",0.04
"20",-1041,"light layer",0.26
"21",-1040,"dark layer",0.1
"22",-1040,"light layer",0.1
"23",-1039,"dark layer",0.04
"24",-1039,"light layer",0.16
"25",-1038,"dark layer",0.04
"26",-1038,"light layer",0.76
"27",-1037,"dark layer",0.1
"28",-1037,"light layer",0.4
"29",-1036,"dark layer",0.1
"30",-1036,"light layer",0.6
"31",-1035,"dark layer",0.1
"32",-1035,"light layer",0.1
"33",-1034,"dark layer",0.1
"34",-1034,"light layer",0.54
"35",-1033,"dark layer",0.1
"36",-1033,"light layer",0.5
"37",-1032,"dark layer",0.1
"38",-1032,"light layer",0.7
"39",-1031,"dark layer",0.1
"40",-1031,"light layer",0.7
"41",-1030,"dark layer",0.04
"42",-1030,"light layer",0.16
"43",-1029,"dark layer",0.1
"44",-1029,"light layer",1.1
"45",-1028,"dark layer",0.2
"46",-1028,"light layer",0.3
"47",-1027,"dark layer",0.1
"48",-1027,"light layer",0.7
"49",-1026,"dark layer",0.1
"50",-1026,"light layer",0.3
"51",-1025,"dark layer",0.1
"52",-1025,"light layer",0.1
"53",-1024,"dark layer",0.04
"54",-1024,"light layer",0.76
"55",-1023,"dark layer",0.1
"56",-1023,"light layer",0.2
"57",-1022,"dark layer",0.1
"58",-1022,"light layer",0.4
"59",-1021,"dark layer",0.04
"60",-1021,"light layer",0.3
"61",-1020,"dark layer",0.1
"62",-1020,"light layer",0.2
"63",-1019,"dark layer",0.2
"64",-1019,"light layer",0.2
"65",-1018,"dark layer",0.2
"66",-1018,"light layer",0.3
"67",-1017,"dark layer",0.2
"68",-1017,"light layer",0.6
"69",-1016,"dark layer",0.2
"70",-1016,"light layer",0.9
"71",-1015,"dark layer",0.1
"72",-1015,"light layer",0.4
"73",-1014,"dark layer",0.04
"74",-1014,"light layer",0.16
"75",-1013,"dark layer",0.06
"76",-1013,"light layer",0.74
"77",-1012,"dark layer",0.06
"78",-1012,"light layer",0.18
"79",-1011,"dark layer",0.04
"80",-1011,"light layer",0.16
"81",-1010,"dark layer",0.1
"82",-1010,"light layer",0.4
"83",-1009,"dark layer",0.04
"84",-1009,"light layer",0.16
"85",-1008,"dark layer",0.1
"86",-1008,"light layer",0.2
"87",-1007,"dark layer",0.06
"88",-1007,"light layer",0.74
"89",-1006,"dark layer",0.1
"90",-1006,"light layer",0.2
"91",-1005,"dark layer",0.1
"92",-1005,"light layer",0.9
"93",-1004,"dark layer",0.1
"94",-1004,"light layer",0.4
"95",-1003,"dark layer",0.1
"96",-1003,"light layer",0.2
"97",-1002,"dark layer",0.1
"98",-1002,"light layer",0.5
"99",-1001,"dark layer",0.1
"100",-1001,"light layer",0.4
"101",-1000,"dark layer",0.1
"102",-1000,"light layer",0.3
"103",-999,"dark layer",0.04
"104",-999,"light layer",1.16
"105",-998,"dark layer",0.1
"106",-998,"light layer",0.5
"107",-997,"dark layer",0.1
"108",-997,"light layer",0.6
"109",-996,"dark layer",0.2
"110",-996,"light layer",0.3
"111",-995,"dark layer",0.04
"112",-995,"light layer",1.16
"113",-994,"dark layer",0.2
"114",-994,"light layer",0.6
"115",-993,"dark layer",0.1
"116",-993,"light layer",0.6
"117",-992,"dark layer",0.04
"118",-992,"light layer",0.56
"119",-991,"dark layer",0.1
"120",-991,"light layer",0.2
"121",-990,"dark layer",0.06
"122",-990,"light layer",0.44
"123",-989,"dark layer",0.06
"124",-989,"light layer",0.74
"125",-988,"dark layer",0.06
"126",-988,"light layer",0.04
"127",-987,"dark layer",0.1
"128",-987,"light layer",0.5
"129",-986,"dark layer",0.04
"130",-986,"light layer",0.86
"131",-985,"dark layer",0.1
"132",-985,"light layer",0.1
"133",-984,"dark layer",0.1
"134",-984,"light layer",0.5
"135",-983,"dark layer",0.04
"136",-983,"light layer",0.26
"137",-982,"dark layer",0.1
"138",-982,"light layer",0.1
"139",-981,"dark layer",0.04
"140",-981,"light layer",1.36
"141",-980,"dark layer",0.04
"142",-980,"light layer",0.66
"143",-979,"dark layer",0.2
"144",-979,"light layer",0.4
"145",-978,"dark layer",0.3
"146",-978,"light layer",0.2
"147",-977,"dark layer",0.4
"148",-977,"light layer",0.2
"149",-976,"dark layer",0.2
"150",-976,"light layer",0.6
"151",-975,"dark layer",0.1
"152",-975,"light layer",0.6
"153",-974,"dark layer",0.06
"154",-974,"light layer",0.94
"155",-973,"dark layer",0.1
"156",-973,"light layer",0.7
"157",-972,"dark layer",0.04
"158",-972,"light layer",0.56
"159",-971,"dark layer",0.04
"160",-971,"light layer",0.06
"161",-970,"dark layer",0.04
"162",-970,"light layer",0.16
"163",-969,"dark layer",0.1
"164",-969,"light layer",0.3
"165",-968,"dark layer",0.04
"166",-968,"light layer",0.66
"167",-967,"dark layer",0.1
"168",-967,"light layer",2.2
"169",-966,"dark layer",0.1
"170",-966,"light layer",1
"171",-965,"dark layer",0.04
"172",-965,"light layer",0.66
"173",-964,"dark layer",0.06
"174",-964,"light layer",0.24
"175",-963,"dark layer",0.1
"176",-963,"light layer",1.9
"177",-962,"dark layer",0.04
"178",-962,"light layer",2.76
"179",-961,"dark layer",0.06
"180",-961,"light layer",0.84
"181",-960,"dark layer",0.2
"182",-960,"light layer",1.4
"183",-959,"dark layer",0.1
"184",-959,"light layer",0.5
"185",-958,"dark layer",0.1
"186",-958,"light layer",0.3
"187",-957,"dark layer",0.1
"188",-957,"light layer",1.1
"189",-956,"dark layer",0.1
"190",-956,"light layer",2.7
"191",-955,"dark layer",0.1
"192",-955,"light layer",0.8
"193",-954,"dark layer",0.1
"194",-954,"light layer",0.9
"195",-953,"dark layer",0.1
"196",-953,"light layer",0.3
"197",-952,"dark layer",0.1
"198",-952,"light layer",0.7
"199",-951,"dark layer",0.1
"200",-951,"light layer",0.5
"201",-950,"dark layer",0.04
