,Age..ybp,Age..calender.,BSi.MAR..mgSiO2.cm2y.
1,(Years before 2002),NA,NA
2,155,1847,6.74
3,169,1833,7.41
4,183,1819,6.64
5,197,1805,6.49
6,210,1792,6.72
7,224,1778,7.47
8,238,1764,8.44
9,252,1750,6.93
10,266,1736,6.95
11,280,1722,6.4
12,294,1708,7.28
13,307,1695,7.44
14,321,1681,6.12
15,335,1667,6.09
16,349,1653,6.95
17,363,1639,6.31
18,377,1625,5.45
19,390,1612,7.37
20,404,1598,7.43
21,418,1584,7.01
22,432,1570,7.81
23,446,1556,6.57
24,460,1542,7.58
25,474,1528,8.61
26,487,1515,7.82
27,501,1501,5.24
28,515,1487,6.03
29,529,1473,6.36
30,543,1459,4.39
31,557,1445,4.92
32,571,1431,5.56
33,584,1418,5.84
34,598,1404,5.12
35,612,1390,5.09
36,626,1376,5.8
37,640,1362,5.42
38,654,1348,6.07
39,668,1334,8.71
40,681,1321,8.02
41,695,1307,9.44
42,709,1293,7.23
43,723,1279,7.96
44,737,1265,6.4
45,751,1251,6.51
46,765,1237,5.42
47,778,1224,4.99
48,792,1210,4.81
49,806,1196,4.65
50,820,1182,5.36
51,834,1168,5.62
52,848,1154,6.63
53,861,1141,8.04
54,875,1127,5.21
55,889,1113,4.54
56,903,1099,5.06
57,917,1085,5.46
58,931,1071,7.79
59,945,1057,7.69
60,958,1044,5.2
61,972,1030,4.52
62,986,1016,5.52
63,1000,1002,4.5
64,1013,989,3.99
65,1025,977,4.67
66,1038,964,4.01
67,1051,951,4.73
68,1064,938,4.94
69,1076,926,4
70,1089,913,4.85
71,1102,900,4.94
72,1114,888,7.04
73,1127,875,5.91
74,1140,862,5.21
75,1153,849,4.25
76,1165,837,4.88
77,1178,824,4.92
78,1191,811,6.07
79,1203,799,5.39
80,1216,786,6.33
81,1229,773,6.65
82,1242,760,5.23
83,1254,748,4.92
84,1267,735,5.48
85,1280,722,5.61
86,1292,710,4.4
87,1305,697,5.67
88,1318,684,6.14
89,1331,671,9.63
90,1343,659,12.56
91,1356,646,8.47
92,1369,633,7.5
93,1381,621,7.11
94,1394,608,8.34
95,1407,595,7.48
96,1420,582,7.44
97,1432,570,9.61
98,1445,557,7.62
99,1458,544,7.7
100,1470,532,6.38
101,1483,519,4.66
102,1496,506,5.38
103,1509,493,4.66
104,1521,481,6.84
105,1534,468,5.43
106,1547,455,7.32
107,1560,442,10.14
108,1572,430,7.16
109,1585,417,5.14
110,1598,404,8.02
111,1610,392,8.13
112,1623,379,8.37
113,1636,366,6.91
114,1649,353,4.74
115,1661,341,7.84
116,1674,328,9.89
117,1687,315,4.35
118,1699,303,4.07
119,1712,290,3.52
120,1725,277,4.68
121,1738,264,5.31
122,1750,252,6.03
123,1763,239,7.33
124,1776,226,5.04
125,1788,214,7.06
126,1801,201,7.15
127,1814,188,9.1
128,1827,175,6.04
129,1839,163,4.2
130,1852,150,5.76
131,1865,137,5.52
132,1877,125,6.24
133,1890,112,5.25
134,1903,99,6.64
135,1916,86,5.6
136,1928,74,7.36
137,1941,61,6.72
138,1954,48,6.56
139,1966,36,7.28
140,1979,23,5.84
141,1992,10,8.31
142,2005,-3,6.99
143,2017,-15,9.26
144,2030,-28,7.83
145,2046,-44,7.7
146,2062,-60,7.69
147,2078,-76,7.08
148,2094,-92,6.78
149,2110,-108,6.93
150,2126,-124,6.93
151,2142,-140,7.7
152,2158,-156,5.56
153,2174,-172,6.48
154,2190,-188,8.25
155,2206,-204,8.93
156,2222,-220,9.39
157,2238,-236,7.61
158,2254,-252,6.92
159,2270,-268,6.52
160,2286,-284,5.99
161,2302,-300,7.89
162,2318,-316,6.82
163,2334,-332,6.81
164,2349,-347,6.19
165,2365,-363,7.99
166,2381,-379,8.53
167,2397,-395,7.25
168,2413,-411,8.59
169,2429,-427,7.69
170,2445,-443,7.9
171,2461,-459,6.77
172,2477,-475,6.42
173,2493,-491,7.75
174,2509,-507,8.94
175,2525,-523,7.51
176,2541,-539,6.57
177,2557,-555,6.92
178,2573,-571,6.45
179,2589,-587,7.04
180,2605,-603,7.4
181,2621,-619,7.71
182,2637,-635,7.22
183,2653,-651,7.11
184,2669,-667,7.48
185,2685,-683,9.13
186,2701,-699,8.57
187,2717,-715,6.01
188,2733,-731,6.31
189,2749,-747,7.1
190,2765,-763,7.68
191,2781,-779,7.54
192,2797,-795,7.93
193,2813,-811,8.65
194,2829,-827,7.73
195,2845,-843,7.41
196,2861,-859,7.53
197,2877,-875,5.41
198,2893,-891,6.18
199,2909,-907,8.61
200,2925,-923,8.89
201,2941,-939,7.05
202,2956,-954,9.37
203,2972,-970,10.77
204,2988,-986,9.97
205,3004,-1002,8.68
206,3020,-1018,8.79
207,3036,-1034,6.85
208,3052,-1050,8.87
209,3068,-1066,9.49
210,3084,-1082,7.1
211,3100,-1098,7.5
212,3116,-1114,8.39
213,3132,-1130,9.51
214,3148,-1146,7.35
215,3164,-1162,7.86
216,3180,-1178,8.13
217,3196,-1194,8.03
218,3212,-1210,6.52
219,3228,-1226,8.58
220,3244,-1242,10.55
221,3260,-1258,10.01
222,3276,-1274,6.62
223,3292,-1290,8.86
224,3308,-1306,7.76
225,3324,-1322,7.64
226,3340,-1338,9.94
227,3356,-1354,8.61
228,3372,-1370,7.35
229,3388,-1386,11.2
230,3404,-1402,8.93
231,3420,-1418,5.69
232,3436,-1434,11.71
233,3452,-1450,8.51
234,3468,-1466,9.64
235,3484,-1482,6.82
236,3500,-1498,8.61
237,3516,-1514,9.65
238,3532,-1530,8.69
239,3548,-1546,9.79
240,3563,-1561,6.26
241,3579,-1577,10.04
242,3595,-1593,9.58
243,3611,-1609,10.74
244,3627,-1625,8.42
245,3643,-1641,10.58
246,3659,-1657,9.9
247,3675,-1673,7.41
248,3691,-1689,6.59
249,3707,-1705,8.96
250,3723,-1721,9
251,3739,-1737,6.7
252,3755,-1753,6.45
253,3771,-1769,6.72
254,3787,-1785,6.67
255,3803,-1801,10.68
256,3819,-1817,9.42
257,3835,-1833,12.01
258,3851,-1849,8.85
259,3867,-1865,6.52
260,3888,-1886,6.48
261,3910,-1908,5.68
262,3931,-1929,9.22
263,3952,-1950,9.29
264,3974,-1972,10.42
265,3995,-1993,9.11
266,4016,-2014,7.13
267,4038,-2036,7.97
268,4059,-2057,8.03
269,4080,-2078,10.48
270,4102,-2100,8.84
271,4123,-2121,7.54
272,4144,-2142,9.16
273,4165,-2163,8.61
274,4187,-2185,9.47
275,4208,-2206,7.16
276,4229,-2227,7.8
277,4251,-2249,11.62
278,4272,-2270,11.18
279,4293,-2291,9.95
280,4315,-2313,14.7
281,4336,-2334,13.6
282,4357,-2355,14.93
283,4379,-2377,7.82
284,4400,-2398,5.17
285,4420,-2418,4.28
286,4440,-2438,7.26
287,4460,-2458,7.55
288,4479,-2477,6.05
289,4499,-2497,7.41
290,4519,-2517,6.44
291,4539,-2537,7.32
292,4559,-2557,7.26
293,4579,-2577,6.87
294,4599,-2597,7.05
295,4619,-2617,8.07
296,4638,-2636,8.27
297,4658,-2656,7.78
298,4678,-2676,6.68
299,4698,-2696,6.46
300,4718,-2716,6.13
301,4738,-2736,6.73
302,4758,-2756,7.78
303,4778,-2776,6.6
304,4797,-2795,5.34
305,4817,-2815,5.32
306,4837,-2835,5.34
307,4857,-2855,5.8
308,4877,-2875,5.38
309,4897,-2895,5.89
310,4917,-2915,5.8
311,4937,-2935,5.63
312,4956,-2954,7.36
313,4976,-2974,6.88
314,4996,-2994,6.35
315,5016,-3014,6.42
316,5036,-3034,8.4
317,5056,-3054,6.34
318,5076,-3074,6.11
319,5095,-3093,3.72
320,5115,-3113,3.6
321,5135,-3133,5.84
322,5155,-3153,5.07
323,5175,-3173,4.58
324,5195,-3193,4.25
325,5215,-3213,3.51
326,5235,-3233,5.3
327,5254,-3252,5.51
328,5274,-3272,6.43
329,5294,-3292,6.58
330,5314,-3312,7.4
331,5334,-3332,6.61
332,5354,-3352,5.89
333,5374,-3372,8.78
334,5394,-3392,5.97
335,5413,-3411,7.99
336,5433,-3431,6.29
337,5453,-3451,5.66
338,5473,-3471,4.11
339,5495,-3493,5.31
340,5517,-3515,4.08
341,5539,-3537,5.87
342,5561,-3559,4.83
343,5583,-3581,4.97
344,5605,-3603,6.45
345,5627,-3625,4.67
346,5649,-3647,5.12
347,5671,-3669,3.77
