Year,Month,rainfall
1904,Jan,860
1905,Jan,250
1906,Jan,160
1907,Jan,940
1908,Jan,0
1909,Jan,0
1910,Jan,770
1911,Jan,70
1912,Jan,200
1913,Jan,450
1914,Jan,1060
1915,Jan,200
1916,Jan,400
1917,Jan,570
1918,Jan,1010
1919,Jan,140
1920,Jan,0
1921,Jan,0
1922,Jan,0
1923,Jan,590
1924,Jan,410
1925,Jan,1780
1926,Jan,0
1927,Jan,254
1928,Jan,635
1929,Jan,360
1930,Jan,300
1931,Jan,0
1932,Jan,190
1933,Jan,1150
1934,Jan,0
1935,Jan,0
1936,Jan,820
1937,Jan,40
1938,Jan,100
1939,Jan,250
1940,Jan,170
1941,Jan,60
1942,Jan,120
1943,Jan,110
1944,Jan,620
1945,Jan,80
1946,Jan,20
1947,Jan,210
1948,Jan,80
1949,Jan,20
1950,Jan,30
1951,Jan,280
1952,Jan,50
1953,Jan,570
1954,Jan,210
1955,Jan,40
1956,Jan,1170
1957,Jan,250
1958,Jan,70
1959,Jan,520
1960,Jan,120
1961,Jan,0
1962,Jan,970
1963,Jan,200
1964,Jan,260
1965,Jan,550
1966,Jan,300
1967,Jan,30
1968,Jan,0
1969,Jan,638
1970,Jan,1164
1971,Jan,20
1972,Jan,460
1973,Jan,274
1974,Jan,120
1975,Jan,60
1976,Jan,193
1977,Jan,300
1978,Jan,1060
1979,Jan,1441
1980,Jan,504
1981,Jan,15
1982,Jan,45
1983,Jan,27
1984,Jan,3
1985,Jan,379
1986,Jan,76
1987,Jan,222
1988,Jan,1104
1989,Jan,326
1990,Jan,118
1991,Jan,340
1992,Jan,30
1993,Jan,1420
1994,Jan,80
1995,Jan,80
1996,Jan,60
1904,Feb,0
1905,Feb,20
1906,Feb,960
1907,Feb,20
1908,Feb,390
1909,Feb,0
1910,Feb,0
1911,Feb,420
1912,Feb,1860
1913,Feb,150
1914,Feb,0
1915,Feb,430
1916,Feb,20
1917,Feb,670
1918,Feb,150
1919,Feb,190
1920,Feb,0
1921,Feb,0
1922,Feb,170
1923,Feb,550
1924,Feb,1350
1925,Feb,110
1926,Feb,0
1927,Feb,0
1928,Feb,0
1929,Feb,0
1930,Feb,430
1931,Feb,790
1932,Feb,40
1933,Feb,70
1934,Feb,10
1935,Feb,820
1936,Feb,1090
1937,Feb,0
1938,Feb,360
1939,Feb,0
1940,Feb,1100
1941,Feb,10
1942,Feb,650
1943,Feb,1320
1944,Feb,10
1945,Feb,60
1946,Feb,0
1947,Feb,0
1948,Feb,200
1949,Feb,150
1950,Feb,360
1951,Feb,50
1952,Feb,240
1953,Feb,40
